licensePlate,make,model,color,img,modelYear,purchaseDate,condition,mileage,price,status
1234BCD,Hyundai,Tucson,Verde oscuro,,2020,16/01/2021,Nuevo,0,25800,Disponible
1235BCF,Cadillac,Escalade,Azul,,2018,16/01/2021,Usado,40000,48500,Disponible
1236BCG,Hyundai,Tucson,Gris,,2020,16/01/2021,Nuevo,0,25800,Disponible
1237BCH,Toyota,Sienna,Mostaza,,2014,02/02/2021,Usado,70000,19500,Disponible
1238BCJ,Toyota,Sienna,Negro,,2014,02/02/2021,Usado,70000,19500,Disponible
1239BCK,GMC,Terrain,Turquesa,,2016,21/03/2021,Usado,60000,21700,Disponible
1240BCL,GMC,Terrain,Blanco,,2016,21/03/2021,Usado,60000,21700,Disponible
1241BCM,Honda,Accord,Marrón,,2015,09/04/2021,Usado,50000,18200,Disponible
1242BCN,Honda,Accord,Azul metálico,,2015,09/04/2021,Usado,50000,18200,Disponible
1243BCP,Chevrolet,Traverse,Rojo,,2013,27/05/2021,Usado,80000,16500,Disponible
1244BCQ,Chevrolet,Traverse,Oliva,,2013,27/05/2021,Usado,80000,16500,Disponible
1245BCR,Ford,Escape,Gris oscuro,,2014,14/06/2021,Usado,40000,14700,Disponible
1246BCS,Ford,Escape,Violeta,,2014,14/06/2021,Usado,40000,14700,Disponible
1247BCT,Hyundai,Elantra,Plateado,,2018,03/07/2021,Usado,55000,16000,Disponible
1248BCV,Hyundai,Elantra,Amarillo,,2018,03/07/2021,Usado,55000,16000,Disponible
1249BCW,Hyundai,Elantra,Granate,,2018,03/07/2021,Usado,55000,16000,Disponible
1250BCX,Honda,CR-V,Verde,,2016,19/08/2021,Usado,45000,19300,Disponible
1251BCY,Jeep,Cherokee,Azul oscuro,,2015,05/09/2021,Usado,30000,17800,Disponible
1252BCZ,Honda,Accord,Dorado,,2009,23/10/2021,Usado,90000,8900,Disponible
1253BDB,Toyota,RAV4,Morado,,2011,11/11/2021,Usado,70000,12500,Disponible
1254BDC,Ford,Explorer,Naranja,,2003,30/12/2021,Usado,85000,6800,Disponible
1255BDD,BMW,5 Series,Gris azulado,,2018,16/01/2022,Usado,25000,32000,Disponible
1256BDF,BMW,5 Series,Marrón oscuro,,2018,16/01/2022,Usado,25000,32000,Disponible
1257BDG,Lincoln,MKC,Blanco,,2015,02/02/2022,Usado,65000,18200,Disponible
1258BDH,Lincoln,MKC,Negro,,2015,02/02/2022,Usado,65000,18200,Disponible
1259BDJ,Ford,Focus,Azul,,2017,21/03/2022,Usado,30000,12300,Disponible
1260BDK,Ford,Focus,Verde,,2017,21/03/2022,Usado,30000,12300,Disponible
1261BDL,Chevrolet,Equinox,Rojo,,2020,09/04/2022,Nuevo,0,27500,Disponible
1262BDM,Chevrolet,Equinox,Gris,,2020,09/04/2022,Nuevo,0,27500,Disponible
1263BDN,Audi,Q5,Turquesa,,2014,27/05/2022,Usado,55000,21000,Disponible
1264BDP,Audi,Q5,Mostaza,,2014,27/05/2022,Usado,55000,21000,Disponible
